A_1,A_2,A_3,A_4,A_5,A_6,A_7
5.7141,2.0511,6.8385,4.1795,7.0423,5.446,A
4.492,2.5572,2.4951,0.49308,6.5339,3.5245,A
5.4477,0.87942,6.3332,3.2367,5.4757,5.3993,A
1.9377,0.1234,3.1492,1.2656,0.13198,3.0962,A
3.4867,0.41934,6.0055,0.1482,6.6671,3.6847,A
5.9783,1.7609,7.3793,3.4394,7.6929,6.1858,A
0.72326,1.172,4.1956,0.55562,2.6628,1.7788,A
6.5746,2.3964,7.7731,3.9144,7.3859,7.0641,A
5.7692,3.3888,7.1663,3.5329,7.3799,6.0796,A
5.02,1.9895,5.8182,3.8372,5.9428,5.0362,A
3.0821,0.22238,3.4756,3.5709,2.1923,4.5126,A
3.9938,0.13941,4.9092,4.7005,5.5491,3.5685,A
0.70813,2.9047,4.4237,3.1,2.9651,2.1066,A
0.3804,2.9825,3.6645,0.079818,0.0070426,3.2466,A
1.8117,0.39969,3.3592,0.52491,0.98469,0.0060538,A
1.7558,2.0805,4.8906,0.0064029,3.6463,5.2899,A
5.7269,4.8354,5.9981,2.7393,3.3204,3.2398,A
3.4746,4.3554,1.5553,0.70837,1.8179,3.5835,A
5.5603,4.9782,0.64471,4.756,3.7673,1.7665,A
6.7362,4.8489,4.2349,4.8496,6.5563,2.6821,A
6.8799,5.187,6.6579,5.423,7.4782,5.5794,A
0.55709,3.2361,6.1689,1.9696,5.4883,4.8249,A
5.1248,2.5301,6.9542,5.0664,7.3078,5.7824,A
4.0231,3.642,6.7037,0.56511,6.1498,3.2685,A
6.3642,5.0543,5.475,1.374,1.2893,0.21433,A
6.7864,5.8534,3.3798,4.765,6.4843,2.234,A
6.9898,4.2273,4.7561,3.9056,6.8077,5.3608,A
7.2361,5.8425,7.3353,5.9307,8.1085,6.0395,A
7.0728,5.0256,7.8993,5.9722,8.2377,5.9145,A
7.0644,4.3699,8.0867,6.0995,8.5131,5.7754,A
6.4564,1.6955,8.0247,5.7598,8.2075,6.998,A
5.0844,3.0785,6.9574,5.2119,7.5627,5.4195,A
4.6669,2.6437,6.9141,3.8855,7.4305,5.5929,A
2.8483,3.0474,4.6078,0.6084,5.6295,4.0533,A
4.9083,3.6516,4.7942,3.0031,4.6413,3.6856,A
5.7983,3.7462,6.3576,4.6017,6.7105,5.0091,A
6.7192,3.7179,6.6104,5.0166,7.6302,5.9913,A
5.7252,3.0335,6.7265,4.9055,7.0585,5.6509,A
5.9323,2.369,6.0612,3.8286,7.1163,4.3122,A
5.7496,0.77614,5.04,2.679,6.9426,4.8652,A
4.8891,1.6508,2.1207,0.56933,5.8005,0.02068,A
0.87063,1.8073,2.7456,1.8809,2.9539,0.21195,A
4.5982,2.4453,1.2023,1.2569,5.6473,2.9975,A
0.9772,1.3118,1.4014,1.7044,1.5155,0.91284,A
3.2747,1.2202,0.012337,0.63406,4.9699,0.25968,A
4.806,0.91721,2.9068,2.3331,5.53,1.8357,A
3.8435,1.7504,0.17734,3.4202,5.1803,0.12804,A
4.9905,0.57742,1.2378,2.8066,6.0078,1.6519,A
4.1112,0.61524,1.9549,0.22952,6.1877,1.7538,A
4.6157,1.9953,1.7672,2.0309,5.6262,3.5139,A
2.3229,3.283,3.0527,0.07699,4.8679,3.8914,A
5.3786,3.6788,5.4169,1.4582,5.9779,5.1042,A
3.961,3.6899,5.0252,2.0722,5.5979,3.7858,A
4.5027,3.0568,5.5815,1.4264,4.1828,3.627,A
3.672,2.8119,5.5262,2.7321,2.4748,5.0063,A
1.97,0.58128,4.5984,1.8782,1.399,0.19141,A
5.717,4.9482,5.7307,3.4234,6.8886,3.823,A
3.8209,3.1104,3.1746,1.2991,5.3999,1.5204,A
4.5981,3.9887,5.4339,1.4224,5.2053,3.845,A
4.8278,4.8864,6.028,3.6929,4.7946,4.8768,A
3.8042,5.1424,5.5755,3.0208,4.4065,2.99,A
2.5587,1.0697,3.9355,1.9618,5.5663,1.2711,A
